station_code,location,,,state,,,temperature_(0_c),,dissolved_oxygen_(mg/_l),,ph,,conductivity_(µmho/_cm),,,bio-chemical,,,nitrate_(mg/_l),,faecal_coliform_(mpn/_100_ml),,,,total_coliform_(mpn/_100_ml),
"Station
Code",LOCATION,,,STATE,,,,Temperature,,,,Dissolved Oxygen,,,pH,,,,,Conductivity,,,,Bio-Chemical Oxygen,,
,,,,,,,,(0 C),,,,(mg/ L),,,,,,,,(µmho/ Cm),,,,Demand (mg/ L),,
,,,,,,,,,,,,> 5.0 mg/ L,,,,6.5 - 8.5,,,,,,,,< 3.0 mg/ L,,
,,,,,,,Min,,Max,,Min,,Max,,Min,,Max,,Min,,Max,,Min,,Max,
2746,"BELICHARANA(4KM D/S TAWI
BRIDGE), J&K",,,"JAMMU &
KASHMIR",,,15.0,,23.0,,7.0,,7.9,,8.0,,8.3,,260,,467,,1.2,,8.2,
2745,"BAGHWATI NAGAR (2KM D/S
TAWI BRIDGE), J&K",,,"JAMMU &
KASHMIR",,,15.0,,15.0,,8.1,,8.1,,8.3,,8.3,,490,,490,,1.0,,1.0,
2742,"SHETALI LIFTING POINT
NAGROTA(5KM U/S TAWI
BRIDGE)",,,"JAMMU &
KASHMIR",,,13.0,,22.0,,6.5,,8.2,,7.6,,8.4,,190,,380,,1.0,,1.1,
2743,,BAGH-E-BAHU LIFTING,,"JAMMU &
KASHMIR",,,14.0,,22.0,,7.2,,9.2,,8.0,,8.4,,220,,420,,1.0,,3.2,
,,POINT(1 KM U/S TAWI,,,,,,,,,,,,,,,,,,,,,,,,
,,BRIDGE),,,,,,,,,,,,,,,,,,,,,,,,
2744,"BELOW TAWI BRIDGE, J&K",,,,JAMMU &,,14.0,,22.0,,6.3,,7.2,,8.3,,8.6,,280,,437,,1.7,,6.0,
,,,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
2745,"BAGHWATI NAGAR (2KM D/S
TAWI BRIDGE), J&K",,,"JAMMU &
KASHMIR",,,15.0,,15.0,,8.1,,8.1,,8.3,,8.3,,490,,490,,1.0,,1.0,
2746,"BELICHARANA(4KM D/S TAWI
BRIDGE), J&K",,,"JAMMU &
KASHMIR",,,15.0,,23.0,,7.0,,7.9,,8.0,,8.3,,260,,467,,1.2,,8.2,
2747,"SURAJPUR CHATHA(10 KM
D/S TAWI BRIDGE)BELOW
BRIDGE",,,"JAMMU &
KASHMIR",,,14.0,,23.0,,6.8,,8.0,,7.9,,8.3,,250,,448,,1.0,,2.6,
2758,"RIVER UJH AT DAM
SITE(L.H.S.), KATHUA, J&K",,,"JAMMU &
KASHMIR",,,10.0,,24.0,,7.6,,8.7,,7.6,,8.4,,187,,345,,0.8,,1.4,
"Station
Code",STATION NAME,,,STATE,"Temperature
(0 C)",,,,,,"Dissolved
Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,_,,,,,,> 5.0 mg/L,,,,,,6.5 - 8.5,,,,,,_,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
1491,,BHAGIRATHI AT,,UTTARAKHAND,_,,,_,,,8.8,,,8.8,,,7.1,,,7.1,,,110,,,110
,,GANGOTARI,,,,,,,,,,,,,,,,,,,,,,,,
1485,,MANDAKINI B/C,,UTTARAKHAND,15.0,,,19.0,,,9.0,,,9.6,,,7.0,,,8.0,,,100,,,100
,,ALAKLNADA AT,,,,,,,,,,,,,,,,,,,,,,,,
,,RUDRAPRAYAG,,,,,,,,,,,,,,,,,,,,,,,,
1484,,ALAKNANDA B/C,,UTTARAKHAND,15.0,,,19.0,,,8.8,,,9.4,,,7.1,,,7.9,,,151,,,151
,,MANDAKINI AT,,,,,,,,,,,,,,,,,,,,,,,,
,,RUDRA PRAYAG,,,,,,,,,,,,,,,,,,,,,,,,
1486,,ALAKNANDA A/C,,UTTARAKHAND,15.0,,,18.0,,,8.6,,,9.8,,,7.2,,,8.1,,,145,,,145
,,MANDAKINI AT,,,,,,,,,,,,,,,,,,,,,,,,
,,RUDRAPRAYAG,,,,,,,,,,,,,,,,,,,,,,,,
1488,,BHAGIRATHI B/C,,UTTARAKHAND,16.0,,,18.0,,,8.2,,,9.6,,,7.2,,,8.2,,,154,,,154
,,WITH ALAKNANDA,,,,,,,,,,,,,,,,,,,,,,,,
,,AT DEVPRAYAG,,,,,,,,,,,,,,,,,,,,,,,,
1487,,ALAKNANDA B/C TO,,UTTARAKHAND,16.0,,,19.0,,,8.6,,,9.4,,,7.2,,,8.1,,,145,,,145
,,BHAGIRATHI AT,,,,,,,,,,,,,,,,,,,,,,,,
,,DEVPRAYAG,,,,,,,,,,,,,,,,,,,,,,,,
1489,,ALAKNANDA A/C,,UTTARAKHAND,16.0,,,19.0,,,9.0,,,9.6,,,7.2,,,8.0,,,152,,,152
,,WITH BHAGIRATHI,,,,,,,,,,,,,,,,,,,,,,,,
,,AT DEVPRAYAG,,,,,,,,,,,,,,,,,,,,,,,,
20048,SWARG-ASHRAM -1,,,UTTARAKHAND,_,,,_,,,_,,,_,,,7.3,,,7.6,,,_,,,_
1060,,GANGA AT,,UTTARAKHAND,16.0,,,22.0,,,9.6,,,10.4,,,7.3,,,7.8,,,_,,,_
,,RISHIKESH U/S,,,,,,,,,,,,,,,,,,,,,,,,
20049,,LAKKAR GHAT-,,UTTARAKHAND,_,,,_,,,_,,,_,,,7.7,,,7.9,,,_,,,_
,,OXIDATION PONDS,,,,,,,,,,,,,,,,,,,,,,,,
10147,,RIVER GANGA D/S,,UTTARAKHAND,16.0,,,21.0,,,9.2,,,9.8,,,7.4,,,7.9,,,_,,,_
,,RISHIKESH,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",STATION NAME,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved
Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,_,,,,,,> 5.0 mg/L,,,,,,6.5 - 8.5,,,,,,_,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
2725,,GANGA AT A/C OF,,UTTARAKHAND,,,16.0,,,22.0,,,8.4,,,9.4,,,7.5,,,7.9,,,_,
,,RIVER SONG NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,SATYANARAYAN,,,,,,,,,,,,,,,,,,,,,,,,
,,TEMPLE D/S,,,,,,,,,,,,,,,,,,,,,,,,
,,"RAIWALA,",,,,,,,,,,,,,,,,,,,,,,,,
,,DEHRADUN,,,,,,,,,,,,,,,,,,,,,,,,
10148,"RIVER GANGA AT
HAR KI PAURI GHAT",,,UTTARAKHAND,,,16.0,,,21.0,,,8.8,,,10.0,,,7.4,,,8.4,,,_,
1061,,GANGA AT,,UTTARAKHAND,,,16.0,,,21.0,,,8.6,,,10.6,,,7.7,,,8.3,,,_,
,,HARIDWAR D/S,,,,,,,,,,,,,,,,,,,,,,,,
20050,JAGJITPUR,,,UTTARAKHAND,,,_,,,_,,,_,,,_,,,7.2,,,8.2,,,_,
2727,,UPPER GANGA,,UTTARAKHAND,,,16.0,,,20.0,,,8.2,,,9.6,,,7.6,,,8.3,,,_,
,,RIVER D/S ROORKEE,,,,,,,,,,,,,,,,,,,,,,,,
10150,,MADHYA GANGA,,,UTTAR,,_,,,_,,,8.6,,,9.3,,,7.1,,,7.6,,,80,
,,"BARRAGE, BIJNORE",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1062,,GANGA AT,,,UTTAR,,18.0,,,27.0,,,7.1,,,9.1,,,6.8,,,7.8,,,180,
,,GARHMUKTESHWAR,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
10149,GHARMUKTESHWAR,,,,UTTAR,,18.0,,,34.0,,,7.4,,,9.4,,,7.0,,,7.5,,,160,
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2488,,"GANGA U/S,",,,UTTAR,,16.0,,,25.0,,,7.2,,,9.8,,,7.1,,,7.5,,,230,
,,ANOOPSHAHAR,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2489,,"GANGA D/S,",,,UTTAR,,18.0,,,25.0,,,7.0,,,10.3,,,7.3,,,7.6,,,230,
,,ANOOPSHAHAR,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1145,,GANGA AT NARORA,,,UTTAR,,2.0,,,24.0,,,7.0,,,10.2,,,7.2,,,7.6,,,224,
,,(BULANDSAHAR),,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2490,,GANGA AT KACHHLA,,,UTTAR,,16.0,,,25.0,,,7.1,,,10.3,,,7.0,,,7.6,,,230,
,,"GHAT, ALIGARH",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
10151,FARRUKABAD,,,,UTTAR,,19.0,,,33.0,,,6.5,,,10.4,,,7.6,,,8.4,,,185,
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1063,,GANGA AT,,"UTTAR
PRADESH",,,14.0,,,33.0,,,6.0,,,11.6,,,7.6,,,8.7,,,218,
,,KANNAUJ U/S,,,,,,,,,,,,,,,,,,,,,,,,
,,(RAJGHAT),,,,,,,,,,,,,,,,,,,,,,,,
1066,,GANGA AT,,,UTTAR,,14.0,,,33.0,,,5.8,,,11.2,,,7.6,,,8.8,,,209,
,,KANNAUJ D/S,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
"Station
Code",STATION NAME,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved
Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,_,,,,,,> 5.0 mg/L,,,,,,6.5 - 8.5,,,,,,_,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
1146,"GANGA AT BITHOOR
(KANPUR)",,,"UTTAR
PRADESH",,,15.0,,,32.0,,,6.7,,,11.6,,,7.8,,,8.7,,,202,
1067,,GANGA AT KANPUR,,,UTTAR,,15.0,,,32.0,,,6.0,,,11.6,,,7.7,,,8.6,,,216,
,,U/S (RANIGHAT),,,PRADESH,,,,,,,,,,,,,,,,,,,,,
10154,"BATHING GHAT
(BHARAOGHAT)",,,"UTTAR
PRADESH",,,15.0,,,32.0,,,6.4,,,11.5,,,7.7,,,8.6,,,208,
10155,D/S SHUKLAGANJ,,,,UTTAR,,15.0,,,32.0,,,5.7,,,11.3,,,7.7,,,8.5,,,220,
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1068,,GANGA AT KANPUR,,"UTTAR
PRADESH",,,15.0,,,32.0,,,2.8,,,10.3,,,7.5,,,8.4,,,242,
,,D/S (JAJMAU,,,,,,,,,,,,,,,,,,,,,,,,
,,PUMPING STATION),,,,,,,,,,,,,,,,,,,,,,,,
10157,,"BATHING GHAT,",,,UTTAR,,15.0,,,32.0,,,4.5,,,10.8,,,7.6,,,8.5,,,224,
,,JAJMAU BRIDGE,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1147,,GANGA AT DALMAU,,,UTTAR,,17.0,,,26.0,,,7.9,,,10.0,,,7.7,,,8.1,,,183,
,,(RAI BAREILLY),,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2498,"GANGA AT KALA
KANKAR, RAEBARELI",,,"UTTAR
PRADESH",,,17.0,,,26.0,,,8.0,,,10.0,,,7.7,,,8.0,,,181,
1046,,GANGA AT,,"UTTAR
PRADESH",,,18.0,,,31.0,,,7.5,,,10.3,,,7.7,,,8.5,,,189,
,,ALLAHABAD,,,,,,,,,,,,,,,,,,,,,,,,
,,(RASOOLABAD),,,,,,,,,,,,,,,,,,,,,,,,
2487,,GANGA AT,,"UTTAR
PRADESH",,,18.4,,,33.0,,,7.4,,,9.9,,,6.1,,,8.6,,,186,
,,"KADAGHAT,",,,,,,,,,,,,,,,,,,,,,,,,
,,ALLAHABAD,,,,,,,,,,,,,,,,,,,,,,,,
1049,,GANGA AT,,"UTTAR
PRADESH",,,18.5,,,32.0,,,7.3,,,9.8,,,7.5,,,8.4,,,204,
,,ALLAHABAD D/S,,,,,,,,,,,,,,,,,,,,,,,,
,,(SANGAM),,,,,,,,,,,,,,,,,,,,,,,,
10158,,RIVER GANGA A/C,,"UTTAR
PRADESH",,,19.0,,,33.0,,,7.5,,,9.5,,,7.6,,,8.7,,,221,
,,"TAMSA, SIRSA, SON",,,,,,,,,,,,,,,,,,,,,,,,
,,BARSA,,,,,,,,,,,,,,,,,,,,,,,,
2485,,"GANGA U/S,",,"UTTAR
PRADESH",,,19.0,,,27.0,,,6.6,,,9.3,,,8.0,,,8.4,,,264,
,,"VINDHYACHAL,",,,,,,,,,,,,,,,,,,,,,,,,
,,MIRZAPUR,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",STATION NAME,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved
Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,_,,,,,,> 5.0 mg/L,,,,,,6.5 - 8.5,,,,,,_,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
2486,,"GANGA D/S,",,,UTTAR,,19.0,,,27.0,,,6.3,,,8.9,,,7.8,,,8.4,,,266,
,,MIRZAPUR,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
10153,,RIVER GANGA AT,,,UTTAR,,20.0,,,27.0,,,6.1,,,9.3,,,7.8,,,8.5,,,265,
,,CHUNAR,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1070,,GANGA AT,,"UTTAR
PRADESH",,,22.0,,,29.0,,,7.4,,,9.2,,,8.2,,,8.4,,,345,
,,VARANASI U-S,,,,,,,,,,,,,,,,,,,,,,,,
,,(ASSIGHAT),,,,,,,,,,,,,,,,,,,,,,,,
1071,,GANGA AT,,"UTTAR
PRADESH",,,22.0,,,29.0,,,6.1,,,7.8,,,8.1,,,8.3,,,366,
,,VARANASI D-S,,,,,,,,,,,,,,,,,,,,,,,,
,,(MALVIYA BRIDGE),,,,,,,,,,,,,,,,,,,,,,,,
10152,,RIVER GANGA A/C,,"UTTAR
PRADESH",,,22.5,,,29.5,,,7.2,,,8.9,,,8.2,,,8.5,,,350,
,,"GOMTI RIVER,",,,,,,,,,,,,,,,,,,,,,,,,
,,BHUSAULA,,,,,,,,,,,,,,,,,,,,,,,,
10156,,"BATHING GHAT,",,,UTTAR,,15.0,,,32.0,,,5.5,,,11.0,,,7.7,,,8.5,,,214,
,,GOLAGHAT,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1073,,GANGA AT TRIGHAT,,,UTTAR,,22.5,,,29.5,,,6.5,,,8.2,,,8.2,,,8.3,,,354,
,,(GHAZIPUR),,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1074,,GANGA AT BUXAR,,,BIHAR,,16.0,,,34.0,,,7.3,,,10.1,,,7.0,,,8.2,,,239,
10113,,RIVER GANGA AT,,BIHAR,,,16.0,,,35.0,,,7.0,,,10.0,,,7.2,,,8.3,,,241,
,,U/S JAIL GHAT,,,,,,,,,,,,,,,,,,,,,,,,
2551,,"GANGA AT BUXAR,",,BIHAR,,,16.0,,,35.0,,,6.8,,,9.6,,,7.4,,,8.2,,,234,
,,RAMREKHAGHAT,,,,,,,,,,,,,,,,,,,,,,,,
3113,,GANGA AT D/S,,BIHAR,,,14.0,,,33.0,,,7.0,,,9.6,,,7.1,,,8.2,,,227,
,,BUXAR NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,GANGA BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,
10131,,RIVER GANGA AT,,BIHAR,,,15.0,,,35.0,,,6.6,,,11.0,,,6.9,,,8.4,,,193,
,,U/S BARAHPUR,,,,,,,,,,,,,,,,,,,,,,,,
,,BINDTOLI,,,,,,,,,,,,,,,,,,,,,,,,
10162,"ARRAH-CHHAPRA
ROAD BRIDGE
(KOILWER BANURA-
CHHAPRA)",,,BIHAR,,,15.0,,,32.5,,,6.9,,,9.8,,,7.4,,,8.3,,,213,
"Station
Code",STATION NAME,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved
Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,_,,,,,,> 5.0 mg/L,,,,,,6.5 - 8.5,,,,,,_,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
2564,"GANGA AT THE
CONFLUENCE OF
SONE RIVER
DORIGANJ",,,BIHAR,,,16.0,,,32.0,,,7.2,,,10.6,,,6.8,,,8.0,,,199,
10114,,RIVER GANGA AT,,BIHAR,,,16.0,,,34.0,,,6.8,,,10.7,,,6.7,,,8.8,,,194,
,,D/S SARIKPUR,,,,,,,,,,,,,,,,,,,,,,,,
3114,,GANGA NEAR,,BIHAR,,,13.0,,,29.0,,,6.9,,,14.1,,,6.9,,,8.3,,,194,
,,DANAPUR (NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,PIPA PUL),,,,,,,,,,,,,,,,,,,,,,,,
1077,,"GANGA AT KHURJI,",,BIHAR,,,14.0,,,30.0,,,6.8,,,13.2,,,6.5,,,8.2,,,211,
,,PATNA U/S,,,,,,,,,,,,,,,,,,,,,,,,
2552,,PATNA TO GANDHI,,BIHAR,,,14.0,,,33.0,,,6.8,,,13.0,,,6.7,,,7.9,,,206,
,,GHAT/NIT GHAT,,,,,,,,,,,,,,,,,,,,,,,,
10115,,RIVER GANGA AT,,BIHAR,,,14.0,,,33.0,,,6.6,,,13.0,,,6.6,,,8.1,,,210,
,,BARKAGAON,,,,,,,,,,,,,,,,,,,,,,,,
1079,,GANGA AT PATNA,,BIHAR,,,14.0,,,32.0,,,6.6,,,11.7,,,7.0,,,8.1,,,215,
,,D/S (GANGA,,,,,,,,,,,,,,,,,,,,,,,,
,,BRIDGE),,,,,,,,,,,,,,,,,,,,,,,,
3122,,GANGA AT,,BIHAR,,,14.0,,,32.0,,,6.6,,,10.5,,,6.8,,,8.1,,,223,
,,"MALSALAMI, PATNA",,,,,,,,,,,,,,,,,,,,,,,,
4297,,KACHCHI-DARGAH-,,BIHAR,,,21.0,,,32.0,,,6.9,,,9.6,,,6.8,,,8.0,,,202,
,,BIDUPUR ROAD,,,,,,,,,,,,,,,,,,,,,,,,
,,"BRIDGE, PATNA",,,,,,,,,,,,,,,,,,,,,,,,
10122,,TRIVENI GHAT,,,BIHAR,,15.0,,,31.0,,,6.7,,,9.5,,,6.3,,,8.2,,,204,
2553,,GANGA AT FATUHA,,,BIHAR,,15.0,,,31.0,,,6.4,,,11.2,,,6.4,,,7.9,,,206,
4301,"BAKHTIYARPUR-
TAJPUR BRIDGE ON
GANGA,
ATHMALGOLA",,,BIHAR,,,17.0,,,32.0,,,6.9,,,10.0,,,6.4,,,8.2,,,228,
3115,,GANGA RIVER AT,,BIHAR,,,15.0,,,34.0,,,7.0,,,11.2,,,6.5,,,8.4,,,195,
,,BARH,,,,,,,,,,,,,,,,,,,,,,,,
10130,,D/S NAWADAGHAT,,,BIHAR,,15.0,,,34.0,,,6.9,,,10.0,,,6.8,,,8.3,,,220,
"Station
Code",STATION NAME,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved
Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,_,,,,,,> 5.0 mg/L,,,,,,6.5 - 8.5,,,,,,_,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
1817,,GANGA AT,,BIHAR,,,15.0,,,34.0,,,6.7,,,9.8,,,7.1,,,8.4,,,201,
,,MOKAMA (U/S),,,,,,,,,,,,,,,,,,,,,,,,
1815,,GANGA AT,,BIHAR,,,15.0,,,35.0,,,6.7,,,10.2,,,7.1,,,8.4,,,193,
,,MOKAMA (D/S),,,,,,,,,,,,,,,,,,,,,,,,
3123,,GANGA RIVER AT,,BIHAR,,,15.0,,,34.0,,,6.8,,,9.8,,,7.1,,,8.4,,,191,
,,BARAHIA,,,,,,,,,,,,,,,,,,,,,,,,
3116,,GANGA AT U/S,,BIHAR,,,19.0,,,33.0,,,6.3,,,10.2,,,6.7,,,8.1,,,225,
,,MUNGER (NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,INTAKE WELL ON,,,,,,,,,,,,,,,,,,,,,,,,
,,GANGA),,,,,,,,,,,,,,,,,,,,,,,,
1818,,GANGA AT MUNGER,,,BIHAR,,20.0,,,33.0,,,6.2,,,10.1,,,6.6,,,8.2,,,218,
3117,"GANGA AT U/S
SULATANGANJ",,,BIHAR,,,18.0,,,32.0,,,6.5,,,10.6,,,6.7,,,8.2,,,227,
2554,,GANGA AT,,BIHAR,,,18.0,,,32.0,,,6.2,,,9.9,,,6.9,,,8.3,,,215,
,,"SULTANGANJ,",,,,,,,,,,,,,,,,,,,,,,,,
,,BHAGALPUR,,,,,,,,,,,,,,,,,,,,,,,,
10138,,CHAMPANAGAR,,,BIHAR,,19.0,,,33.0,,,6.6,,,11.1,,,6.7,,,8.1,,,219,
1819,,GANGA AT,,BIHAR,,,18.0,,,33.0,,,6.8,,,10.6,,,6.7,,,8.2,,,210,
,,BHAGALPUR,,,,,,,,,,,,,,,,,,,,,,,,
3118,,GANGA AT U/S,,BIHAR,,,16.0,,,32.0,,,6.0,,,8.5,,,6.9,,,8.2,,,220,
,,BHAGALPUR,,,,,,,,,,,,,,,,,,,,,,,,
1816,"GANGA AT
KAHALGAON",,,BIHAR,,,18.0,,,32.0,,,6.5,,,9.5,,,7.1,,,8.1,,,216,
10143,,D/S NEAR,,BIHAR,,,19.0,,,32.0,,,6.2,,,8.8,,,7.1,,,8.0,,,225,
,,CREMATION GHAT,,,,,,,,,,,,,,,,,,,,,,,,
10144,U/S NEAR LCT GHAT,,,JHARKHAND,,,11.0,,,36.0,,,7.7,,,8.8,,,8.0,,,8.5,,,302,
10145,,D/S NEAR JANTA,,JHARKHAND,,,12.0,,,37.0,,,7.6,,,8.6,,,7.7,,,8.5,,,302,
,,GHAT,,,,,,,,,,,,,,,,,,,,,,,,
10146,SANGI DALAN,,,JHARKHAND,,,12.0,,,38.0,,,7.6,,,8.9,,,7.8,,,8.5,,,304,
"Station
Code",STATION NAME,,,STATE,"Temperature
(0 C)",,,,,,"Dissolved
Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,_,,,,,,> 5.0 mg/L,,,,,,6.5 - 8.5,,,,,,_,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
1059,,GANGA AT,,JHARKHAND,13.0,,,37.0,,,7.8,,,8.8,,,7.6,,,8.4,,,312,,,320
,,RAJMAHAL,,,,,,,,,,,,,,,,,,,,,,,,
1080,"GANGA AT
BAHARAMPORE",,,WEST BENGAL,16.5,,,32.0,,,5.6,,,10.9,,,7.3,,,8.6,,,174,,,362
10159,KHAGRA,,,WEST BENGAL,16.5,,,32.0,,,5.7,,,10.7,,,7.3,,,8.6,,,174,,,382
10160,GORABAZAR,,,WEST BENGAL,16.5,,,32.0,,,5.6,,,11.1,,,7.3,,,8.8,,,178,,,356
2511,,NABADIP ON,,WEST BENGAL,17.0,,,31.0,,,5.6,,,11.0,,,7.2,,,8.7,,,172,,,372
,,"GANGA,",,,,,,,,,,,,,,,,,,,,,,,,
,,GHOSHPARA NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,MONIPURGHAT,,,,,,,,,,,,,,,,,,,,,,,,
2506,,"TRIBENI ON GANGA,",,WEST BENGAL,19.0,,,32.0,,,4.8,,,11.2,,,7.3,,,8.6,,,218,,,464
,,NEAR BURNING,,,,,,,,,,,,,,,,,,,,,,,,
,,GHAT,,,,,,,,,,,,,,,,,,,,,,,,
10161,PALTA SHITLATALA,,,WEST BENGAL,20.0,,,33.0,,,4.8,,,10.2,,,7.3,,,8.7,,,227,,,652
1054,GANGA AT PALTA,,,WEST BENGAL,20.0,,,32.5,,,4.8,,,10.4,,,7.3,,,8.5,,,202,,,376
1472,,GANGA AT,,WEST BENGAL,19.0,,,32.0,,,3.8,,,10.9,,,7.0,,,8.4,,,203,,,442
,,SERAMPORE,,,,,,,,,,,,,,,,,,,,,,,,
1053,,GANGA AT,,WEST BENGAL,19.0,,,32.0,,,4.6,,,8.5,,,6.6,,,8.5,,,228,,,605
,,DAKSHINESHWAR,,,,,,,,,,,,,,,,,,,,,,,,
1471,,GANGA AT,,WEST BENGAL,18.0,,,32.0,,,3.1,,,8.7,,,6.3,,,8.1,,,41,,,510
,,HOWRAH-SHIVPUR,,,,,,,,,,,,,,,,,,,,,,,,
1470,,GANGA AT GARDEN,,WEST BENGAL,18.0,,,33.0,,,4.4,,,7.8,,,5.8,,,8.2,,,247,,,517
,,REACH,,,,,,,,,,,,,,,,,,,,,,,,
1052,ULUBERIA,,,WEST BENGAL,19.0,,,33.0,,,4.2,,,8.1,,,6.1,,,8.2,,,302,,,531
1469,,GANGA AT,,WEST BENGAL,19.0,,,33.0,,,5.2,,,8.1,,,7.0,,,9.3,,,313,,,9515
,,DIAMOND,,,,,,,,,,,,,,,,,,,,,,,,
,,HARBOUR,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,Dissolved,,,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
,,,,,,,,Oxygen,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,(mg/ L),,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,"< 2500 MPN/ 100
mL",,,,
,,,,,Min,Max,Min,,Max,,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
1492,,YAMUNA AT,,UTTARAKHAND,,,9.2,,9.2,,7.1,7.1,60,60,,,,,0.72,0.72,2,,2,,4,4
,,YAMUNOTRI,,,,,,,,,,,,,,,,,,,,,,,,
1493,,YAMUNA AT,,UTTARAKHAND,,,9.4,,9.4,,7.1,7.1,107,107,,,,,0.52,0.52,680,,680,,35000,35000
,,HANUMANCHATTI,,,,,,,,,,,,,,,,,,,,,,,,
1494,,YAMUNA AT U/S,,UTTARAKHAND,16.0,19.0,7.6,,9.4,,7.2,8.1,220,220,1.0,,1.0,,0.29,0.29,5,,5,,2,350
,,OF LAKHWAR,,,,,,,,,,,,,,,,,,,,,,,,
,,DAM,,,,,,,,,,,,,,,,,,,,,,,,
1490,,YAMUNA AT U/S,,UTTARAKHAND,16.0,20.0,8.6,,9.2,,7.1,8.2,,,1.0,,1.0,,,,,,,,40,80
,,DAK PATTHAR,,,,,,,,,,,,,,,,,,,,,,,,
1553,,"RIVER YAMUNA ,",,"HIMACHAL
PRADESH",13.0,27.0,5.0,,8.2,,7.7,8.5,252,806,0.1,,1.7,,0.04,1.12,11,,21,,22,40
,,U/S PAONTA,,,,,,,,,,,,,,,,,,,,,,,,
,,"SAHIB, H.P",,,,,,,,,,,,,,,,,,,,,,,,
1554,,"RIVER YAMUNA ,",,"HIMACHAL
PRADESH",14.0,26.0,5.5,,8.1,,8.0,8.4,236,588,0.4,,2.0,,0.04,1.32,14,,24,,27,46
,,D/S PAONTA,,,,,,,,,,,,,,,,,,,,,,,,
,,"SAHIB, H.P",,,,,,,,,,,,,,,,,,,,,,,,
1117,,YAMUNA AT,,HARYANA,19.0,19.0,7.7,,12.2,,7.1,8.3,149,442,0.8,,3.0,,0.30,3.02,2,,1300000,,8,5400000
,,HATHNIKUND,,,,,,,,,,,,,,,,,,,,,,,,
,,HARYANA,,,,,,,,,,,,,,,,,,,,,,,,
