,table,,table,,page,
1809,,"RIVER TEESTA AT MELLI
DOWNSTREAM",SIKKIM,,10.5,
1947,,"RIVER TEESTA AT SEVOKE,
SILIGURI, DARJEELING","WEST
BENGAL",,18.0,
2241,,"RIVER SONAI AT SONAI,
ASSAM",ASSAM,,20.0,
2234,,"RIVER RANGA NADI D/S OF
HYDEL PROJECT, ASSAM",ASSAM,,20.0,
3111,,"RIVER RANGANADI AT YAZALI
(NEEPCO-RHEP)","ARUNACHAL
PRADESH",,-,
2034,,"RIVER RANGIT AT DAM SITE
(NHPC)",SIKKIM,,8.5,
2035,,RIVER RANGIT AT LEGSHIP,SIKKIM,,10.0,
2036,,RIVER RANGIT AT RESHI,SIKKIM,,9.5,
2037,,"RIVER RANGIT AT
JORETHANG",SIKKIM,,11.0,
2038,,RIVER RANGIT AT TRIVENI,SIKKIM,,11.0,
1805,,"RIVER AFTER CONFLUENCE
OF RANICHU AND RORACHU
AT RANIPOOL",SIKKIM,,10.0,
1806,,"RIVER RANICHU BEFORE
CONFLUENCE WITH TEESTA
AT SINGTAM, SIKKIM",SIKKIM,,9.0,
3101,,"RIVER KAMENG AT TIPPI,
BHALUKPONG,","ARUNACHAL
PRADESH",,-,
3112,,"RIVER KAMLA AT BOASIMLA,","ARUNACHAL
PRADESH",,-,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2236,,"RIVER KAPILI AT DHARMTUL
BRIDGE, NH-31, NAGAON,
ASSAM",ASSAM,,20.0,
2523,,"RIVER KAROLA, D/S OF
JALPAIGURI, NEAR MIN
BHAWAN, JALPAIGURI","WEST
BENGAL",,20.0,
2068,,"RIVER KATHAKAL U/S AT
MATIJURI, DIST. HAILAKANDI,
ASSAM",ASSAM,,21.0,
2061,,"RIVER KHARSANG B/C WITH
BURIDIHING NEAR
KHARSANG (ASSAM-
ARUNANCHAL BORDER),
ASSAM",ASSAM,,20.0,
2232,,"RIVER KOHORA AT N.H.
CROSSING, KOHORA, ASSAM
(BRAHMAPUTRA)",ASSAM,,20.0,
2059,,"RIVER KOLONG AT
MARIGAON, ASSAM",ASSAM,,20.0,
2237,,"RIVER KOLONG AT U/S OF
ANANDARAM DEKIAL
PHUKAN BRIDGE, NAGAON,
ASSAM",ASSAM,,20.0,
2229,,"RIVER KUNDLI AT KUNDLI/
SAPAKHOWA, SADIA, ASSAM",ASSAM,,20.0,
2242,,"RIVER KUSHIARA AT
KARIMGANJ, ASSAM",ASSAM,,20.0,
3417,,"RIVER MANU AT
MANUGHAT, CONFL POINT
OF CHAWMANU CHARRA &
MANU RIVER, DHALAI",TRIPURA,,18.0,
3418,,"RIVER MANU AT
KAILASHAHAR D/S, NORTH
TRIPURA",TRIPURA,,18.5,
3419,,"RIVER MANU AT
KUMARGHAT, NORTH
TRIPURA",TRIPURA,,18.5,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3367,,"RIVER NONBAH AT
NANGSTOIN MARKE",MEGHALAYA,,14.0,
3368,,"RIVER NONBAH AT
PHOTSOHSAT",MEGHALAYA,,14.0,
3369,,RIVER KYNSHI AT SOHIONG,MEGHALAYA,,12.0,
3370,,"RIVER KYNSHI AT
NANGKHNUM",MEGHALAYA,,13.0,
3371,,RIVER KYNSHI AT RANIKOR,MEGHALAYA,,15.0,
3373,,"RIVER WAH BLEI AT
RIANGDO,",MEGHALAYA,,15.0,
3374,,"RIVER WAH BLEI AT
SHDADDKHAR,",MEGHALAYA,,14.0,
3099,,"RIVER LOHIT AT ALUBARI,","ARUNACHAL
PRADESH",,-,
3797,,"RIVER MANAS
(SANTOSHPUR) NEAR
LENGTISINGA",ASSAM,,24.0,
2060,,"MANAS RIVER AT NH-31
CROSSING, BARPETA,
DISTRICT, ASSAM",ASSAM,,20.0,
1803,,"RIVER MANEY KHOLA AT
BURTUK NEAR ARMY BASE
CAMP, 4 KM U/S OF
GANGTOK",SIKKIM,,9.0,
1804,,"RIVER MANEY KHOLA A/C
WITH RAY KHOLA AT
ADAMPOOL AFTER MEETING
WASTE OF STP, GANGTOK",SIKKIM,,9.5,
2894,,"RIVER MILAK AT TULI,
MOKOKCHUNG",NAGALAND,,19.0,
2895,,"RIVER MILAK AT PAPER
NAGAR, TULI, MOKOKCHUNG",NAGALAND,,20.0,
3100,,"RIVER NAMCHIK AT
KHARSANG,","ARUNACHAL
PRADESH",,-,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3109,,"RIVER NAO DIHING AT
NAMSAI,","ARUNACHAL
PRADESH",,-,
3103,,"RIVER PACHIN AT
NAHARLAGUN (BELOW
BARAPANI BRIDGE),","ARUNACHAL
PRADESH",,22.1,
2065,,"RIVER PAGLDIA NEAR
NALBARI TOWN, DIST.
NALBARI, ASSAM",ASSAM,,19.0,
2235,,"RIVER PANCHNAI AT NH-52
CROSSING, ORANG, ASSAM",ASSAM,,22.0,
3104,,"RIVER POMA AT POMA,","ARUNACHAL
PRADESH",,-,
3110,,"RIVER YONGO AT AALO,","ARUNACHAL
PRADESH",,-,
1531,,"RIVER MORA BHARALI AT
TEZPUR, ASSAM",ASSAM,,23.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1232,,"RIVER MAHI (D/S) CONF
WITH R. CHAP (UNDER
SAGWARA-SARHI RD.
BDG.)",RAJASTHAN,,19.0,
30061,,"RIVER MAHI AT
GAMMON BRIDGE,
BANSWARA(RAJASTHAN)",RAJASTHAN,,20.0,
4,,RIVER MAHI AT SEVALIA,GUJARAT,,23.0,
5,,RIVER MAHI AT VASAD,GUJARAT,,20.0,
1229,,"RIVER MAHI NEAR
RAJASTHAN BORDER AT
KADANA DAM,",GUJARAT,,21.0,
1230,,"RIVER MAHI AFTER
CONF. WITH ANAS AT
PARDI (BANASWADA),",GUJARAT,,21.0,
1231,,"RIVER MAHI AT VIRPUR,",GUJARAT,,21.0,
1863,,"RIVER MAHI AT UMETA
BRIDGE",GUJARAT,,24.0,
1864,,RIVER MAHI AT MUJPUR,GUJARAT,,26.0,
3206,,"RIVER MAHI AT SHERKHI
BRIDGE",GUJARAT,,27.0,
4415,,RIVER MAHI AT DODKA,GUJARAT,,25.0,
30050,,"RIVER MAHI AT KADANA
DAM, (GUJARAT)",GUJARAT,,20.5,
1233,,"RIVER MAHI AT
BADNAWAR, M.P.","MADHYA
PRADESH",,20.0,
3318,,"RIVER MAHI AT
RANISINGH VILLAGE,
RATLAM, UJJAIN","MADHYA
PRADESH",,24.0,
4608,,"RIVER MAHI FOREST
GUEST HOUSE RAJAPUR","MADHYA
PRADESH",,24.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
,,"MATAJI SHIVGARH
RATLAM.",,,,
30058,,"RIVER MAHI AT VILLAGE
BAJNA (M.P.)","MADHYA
PRADESH",,19.0,
3848,,"RIVER ANAS NEAR ROAD
BRIDGE JHABUA","MADHYA
PRADESH",,20.0,
1228,,"RIVER ANAS AT DAHOD,
(KUSHALGARH), DIST.
PANCHMAHAL",GUJARAT,,23.0,
2104,,RIVER MALEI AT JAORA,"MADHYA
PRADESH",,26.0,
2102,,"RIVER SHIVNA AT
RAMGHAT, MANDSAUR","MADHYA
PRADESH",,24.0,
1227,,"RIVER PANAM AT
LUNAWADA,",GUJARAT,,21.0,
4805,,"RIVER BHANWAR SEMLA
DAM NEAR VILLAGE-
DHOPAL,",RAJASTHAN,,19.0,
2105,,"RIVER CHILLAR AT
SHAJAPUR","MADHYA
PRADESH",,21.0,
2103,,"RIVER JAMMER AT
DHOLOWAD, RATLAM","MADHYA
PRADESH",,24.0,
"STATI
ON
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERAT
URE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1221,,"RIVER SABARMATI AT
KHEROJ BRIDGE,",GUJARAT,,25.0,
1223,,"RIVER SABARMATI AFTER
CONF. WITH MESHWA AT
VAUTHA (NEAR DHOKLA),",GUJARAT,,24.0,
1409,,"RIVER SABARMATI AT
RAILWAY BRIDGE
AHMEDABAD,",GUJARAT,,25.0,
1866,,"RIVER SABARMATI AT
HANSAOL BRIDGE,",GUJARAT,,25.0,
1,,"RIVER SABARMATI AT
DHAROI DAM",GUJARAT,,26.0,
2,,"RIVER SABARMATI AT
AHMEDABAD AT V.N.
BRIDGE",GUJARAT,,25.0,
1408,,"RIVER SABARMATI AT VILL.
MIROLI TALUKA DASCROI,
AHMEDABAD,",GUJARAT,,26.0,
2075,,"RIVER SABARMATI AT
DHAROI DAM, DIST.
MEHSANA.",GUJARAT,,24.0,
10014,,"RIVER SABARMATI AT
AHMEDABAD U/S",GUJARAT,,25.0,
10015,,"RIVER SABARMATI AT
AHMEDABAD D/S",GUJARAT,,26.0,
1222,,"RIVER SHEDHI AT KHEDA,",GUJARAT,,27.0,
1437,,"RIVER KHARI AT LALI
VILLAGE NEAR
AHMEDABAD,",GUJARAT,,27.0,
1224,,"RIVER MESHWA NEAR
RAJASTHAN BORDER AT
SAMLAJI,",GUJARAT,,25.0,
"STATIO
N CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3321,,"RIVER NARMADA AT
AMARKANTAK FROM
ORIGIN POINT, REWA
NARMADA AT
DINDORI,U/S INTAKE
POINT,DISTT.INDORE",MADHYA PRADESH,,24.0,
1242,,"RIVER NARMADA
NEAR SOURCE AT
AMARKANTAK M.P.",MADHYA PRADESH,,23.7,
4578,,"RIVER NARMADA AT
PUSKAR DAM
AMARKANTAK",MADHYA PRADESH,,23.8,
1241,,"RIVER NARMADA AT
MANDLA NEAR ROAD
BRIDGE. M.P.",MADHYA PRADESH,,17.0,
1240,,"RIVER NARMADA AT
NARSINGHPUR M.P.",MADHYA PRADESH,,16.3,
2106,,"RIVER NARMADA AT
NEMAWAR",MADHYA PRADESH,,20.0,
4594,,"RIVER NARMADA AT
BEFOR CONFLU. OF
JAMNER VILL.
NEMAWAR",MADHYA PRADESH,,20.0,
4595,,"RIVER NARMADA 500
M.D/S NEAR JAIN
MANDER VILLAGE
NEMAWAR",MADHYA PRADESH,,20.0,
45,,"RIVER NARMADA AT
MANDLESHWAR",MADHYA PRADESH,,20.0,
1239,,"RIVER NARMADA AT
BADWANI, M.P.",MADHYA PRADESH,,20.0,
1431,,"RIVER NARMADA AT
MAHESHWAR, M. P.",MADHYA PRADESH,,20.0,
1234,,"RIVER NARMADA
NEAR SHAHGANJ",MADHYA PRADESH,,18.0,
"STATIO
N CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
,,"GUEST HOUSE,
DIST.SEHORE",,,,
2112,,"RIVER NARMADA
NEAR MORTAKKA
BRIDGE, BADWAH",MADHYA PRADESH,,20.0,
44,,"RIVER NARMADA AT
SETHANIGHAT",MADHYA PRADESH,,19.0,
1235,,"RIVER NARMADA AT
HOSHANGABAD D S
M.P.",MADHYA PRADESH,,19.0,
2113,,"RIVER NARMADA
NEAR PUNASA DAM,
PUNASA",MADHYA PRADESH,,20.0,
1430,,"RIVER NARMADA AT
D/S OF
OMKARESHWAR M.P.",MADHYA PRADESH,,20.0,
3322,,"RIVER NARMADA AT
MANDLA, NEAR
SHAMSHANGHAT,
JABALPUR",MADHYA PRADESH,,16.2,
2099,,"RIVER NARMADA
LALPUR, JABALPUR",MADHYA PRADESH,,17.2,
3323,,"RIVER NARMADA AT
LALPUR, NEAR WATER
SUPPLY INTAKE POINT,
JABALPUR",MADHYA PRADESH,,16.0,
3324,,"RIVER NARMADA AT
PANCHWATIGHAT,
BEFORE MIXING WITH
BAWANGANGA RIVER,
JABALPUR",MADHYA PRADESH,,16.3,
3325,,"RIVER NARMADA AT
SARSWATIGHAT,
AFTER MIXING WITH
BAWANGANGA RIVER,
JABALPUR",MADHYA PRADESH,,16.2,
"STATIO
N CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2118,,"RIVER NARMADA AT
D/S OF KAPILDHARA",MADHYA PRADESH,,23.8,
2123,,"RIVER NARMADA AT
KORIGHAT
HOSHANGABAD",MADHYA PRADESH,,20.0,
3847,,"RIVER NARMADA AT
DHARAMPURI",MADHYA PRADESH,,20.0,
4577,,"RIVER NARMADA AT
CHANDANGHAT NEAR
ROAD BRIDGE",MADHYA PRADESH,,24.2,
4579,,"RIVER NARMADA AT
DINDORI D/S AFTER
MIXING TO CITY
DOMESTIC NEAR
JOGOTIKARIA GHAT",MADHYA PRADESH,,24.0,
4580,,"RIVER NARMADA
NEAR BHAIRAV
TAMPLE AT
SHHASTRADHAR
MANDLA",MADHYA PRADESH,,16.2,
4581,,"RIVER NARMADA
NEAR ROAD BRIDGE
(D/S BARGI DAM)
JABALPUR",MADHYA PRADESH,,16.0,
4582,,"RIVER NARMADA AT
JAMTARA, NEAR
RAILWAY BRIDGE",MADHYA PRADESH,,16.2,
4583,,"RIVER NARMADA
NEAR ROAD BRIDGE
JHANSINGHAT
JABALPUR",MADHYA PRADESH,,16.3,
4584,,"RIVER NARMADA N.H.
44 NEAR ROAD BRIDGE
AT BARMAN.
JABALPUR",MADHYA PRADESH,,16.0,
"STATIO
N CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4585,,"RIVER NARMADA AT
BARMANGHAT, 100
MDS OF MAINGHAT",MADHYA PRADESH,,16.4,
4586,,"RIVER NARMADA S.N.
44 NEAE ROAD BRIDGE
NEAR JHILKOLI
NARSINGPUR",MADHYA PRADESH,,16.3,
4587,,"RIVER NARMADA AT
NEAR ROAD BRIDGE,
SANDIA",MADHYA PRADESH,,20.0,
4588,,"RIVER NARMADA AT
U/S OF VILLAGE JAIT
NEAR
NARAYANAPURA,
DIST. SEHORE",MADHYA PRADESH,,17.0,
4589,,"RIVER NARMADA AT
D/S OF VILLAGE JAIT",MADHYA PRADESH,,18.0,
4590,,"RIVER NARMADA U/S
BEFOR CONFLUENCE
TAWA NEAR
BANDRABHAN",MADHYA PRADESH,,19.0,
4591,,"RIVER NARMADA D/S
AFTER CONFLUENCE
TAWA RAMNAGAR",MADHYA PRADESH,,20.0,
4592,,"RIVER NARMADA AT
BUDHNIGHAT, BUDHNI",MADHYA PRADESH,,19.0,
4593,,"RIVER NARMADA AT
D/S OF TEXTILE UNIT
VILLAGE. HOLIPURA
BUDNI",MADHYA PRADESH,,20.0,
4596,,"RIVER NARMADA AT
HANUWANTIA DIST.
KHANDWA",MADHYA PRADESH,,20.0,
4597,,"RIVER NARMADA AT
U/S OMKAREWHWAR
DAM KHANDWA",MADHYA PRADESH,,20.0,
"STATIO
N CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4598,,"RIVER NARMADA AT
DHARESHWAR",MADHYA PRADESH,,20.0,
4599,,"RIVER NARMADA
NEAR W/S INTAKE
JALLOD",MADHYA PRADESH,,19.0,
4600,,"RIVER NARMADA AT
SHAHASTRADHARA
(JALKOTI)",MADHYA PRADESH,,20.0,
4601,,"RIVER NARMADA AT
KHALGHAT",MADHYA PRADESH,,20.0,
4602,,"RIVER NARMADA AT
SEMALDA U/S OF
BARWANI",MADHYA PRADESH,,20.0,
4603,,"RIVER NARMADA AT
KOTESHWAR",MADHYA PRADESH,,20.0,
4605,,"RIVER NARMADA AT
KAKRANA, INTERSTATE
BOUNDRY, ALIRAJPUR",MADHYA PRADESH,,20.0,
30048,,"RIVER NARMADA AT
GORA BRIDGE,
NAVAGAM (GUJARAT)",GUJARAT,,25.5,
7,,"RIVER NARMADA AT
GARUDESHWAR",GUJARAT,,26.0,
1244,,"RIVER NARMADA AT
PANETHA,",GUJARAT,,26.0,
1245,,"RIVER NARMADA AT
CHANDOD,",GUJARAT,,9.0,
1981,,"RIVER NARMADA AT
ZANOR (NTPC),
BHARUCH",GUJARAT,,23.0,
1243,,"RIVER NARMADA AT
BHARUCH,
ZADESHVAR,",GUJARAT,,26.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",,,"STATE
NAME",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
1236,,"RIVER CHOTA TAWA
BEFORE CONFL. WITH
NARMADA, M.P.",,,"MADHYA
PRADESH",
2100,,,RIVER GOUR BHOGA,,"MADHYA
PRADESH",
,,,"DOOR, JABALPUR",,,
2101,,"RIVER KATNI NEAR
NAGAR NIGAM",,,"MADHYA
PRADESH",
2114,,"RIVER KUNDA AT
KHARGONE",,,"MADHYA
PRADESH",
3326,,"RIVER SIMRAR AT KATNI
NEAR ACC W/S INTAKE
POINT, JABALPUR",,,"MADHYA
PRADESH",
3305,,"RIVER BANJAR AT
MALANJKHAND NEAR
W/S INTAKE POINT,
JABALPUR",,,"MADHYA
PRADESH",
3828,,"RIVER HIRAN, NH 7
ROAD BRIDGE, SIHORA,
DIST JABALPUR",,,"MADHYA
PRADESH",
3829,,"RIVER HIRAN, NH -12
ROAD BRIDGE VIL
VIKRAMPUR ,DIST
NARSINGPUR",,,"MADHYA
PRADESH",
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED UNDER E(P),,,,,
,"RULES, 1986",,,,,
2115,,"RIVER TAPI AT NEPA NAGAR 100 METRE
D/S AFTER MIXING PANDHAR NALLA","MADHYA
PRADESH",,20.0,
9,,RIVER TAPI AT NEPANAGAR,"MADHYA
PRADESH",,20.0,
10,,RIVER TAPI AT BURHANPUR,"MADHYA
PRADESH",,20.0,
1250,,RIVER TAPI AT HATNUR M.P.,"MADHYA
PRADESH",,21.0,
46,,"RIVER TAPI AT UKAI, SHERULA BRIDGE",GUJARAT,,27.0,
1247,,"RIVER TAPI AT MANDAVI,",GUJARAT,,20.0,
1983,,"RIVER TAPI NEAR BARDOLI (KAPP
BRIDGE) BARDOLI",GUJARAT,,20.0,
47,,"RIVER TAPI AT KATHORE, (NH-8 BRIDGE)",GUJARAT,,20.0,
1248,,"RIVER TAPI AT SURAT U/S KATHORE,",GUJARAT,,20.0,
1982,,"RIVER TAPI AT RANDER BRIDGE, SURAT",GUJARAT,,20.0,
2071,,"RIVER TAPI AT ONGC BRIDGE AT SURAT,",GUJARAT,,22.0,
30045,,"RIVER TAPI AT KURKURMUNDA BRIDGE,
NIZHAR ROAD, NEAR KURKURMUNDA
VILLAGE, GUJARAT",GUJARAT,,21.0,
30044,,"RIVER TAPI AT PRAKASHA,
(MAHARASHTRA)",MAHARASHTRA,,21.0,
30043,,"RIVER TAPI AT AJNAD, (MAHARASHTRA)",MAHARASHTRA,,23.0,
1251,,"RIVER TAPI AT BHUSAWAL U/S,
BHUSAWAL RAILWAY COLONY,
BHUSAWAL, JALGAON",MAHARASHTRA,,21.0,
1313,,"RIVER TAPI AT AJAND VILLAGE, RAVER,
JALGAON",MAHARASHTRA,,22.0,
1314,,"RIVER TAPI AT UBAD
VILLAGE,SHAHADA, NANDURBAR",MAHARASHTRA,,29.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3203,,"RIVER AMRAVATI AT
VILLAGE DADHAL , TA
ANKLESHWAR, BHARUCH",GUJARAT,,26.0,
2652,,"RIVER AMRAVATI D/S OF
DONDAICHA, DHULE,
DHULE",MAHARASHTRA,,-,
2666,,"RIVER GOMAI D/S OF
SHAHADA, DHULE",MAHARASHTRA,,-,
2659,,"RIVER BURAI BEFORE
CONFLUECE TO TAPI
RIVER, MUKUDAS, DHULE",MAHARASHTRA,,-,
2070,,"RIVER KIM AT SAHOL
BRIDGE, OLPAD HANSOT
ROAD, DIST. SURAT",GUJARAT,,20.0,
2127,,"RIVER DENWA NEAR
SARNI, ROAD BRIDGE","MADHYA
PRADESH",,17.0,
1252,,RIVER GIRNA AT JALGAON,MAHARASHTRA,,21.5,
1253,,"RIVER GIRNA AT
MALEGAON (MANMAD),
NASHIK",MAHARASHTRA,,17.0,
1907,,"RIVER RANGAVALI D/S OF
NAVAPUR, NANDURBAR",MAHARASHTRA,,-,
2658,,"RIVER BORI D/S OF
AMALNER, JALGAON,
JALGAON",MAHARASHTRA,,23.0,
2667,,"RIVER HIWARA D/S OF
PACHORA, JALGAON",MAHARASHTRA,,21.0,
2674,,"RIVER MOR NEAR
PADALSHE, JALGAON",MAHARASHTRA,,21.0,
2710,,"RIVER TITUR D/S OF
CHALISGAON, JALGAON",MAHARASHTRA,,20.5,
2718,,"RIVER WAGHUR AT
SAKEGAON BEFORE",MAHARASHTRA,,21.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
,,"CONFLUENCE WITH TAPI
RIVER, JALGAON",,,,
2684,,"RIVER PANZARA NEAR
PANZARAKAN SSK LTD,
PANZARA, DHULE",MAHARASHTRA,,30.0,
1913,,"RIVER PURNA AT
DHUPESHWAR,
MALKAPUR, AKOLA",MAHARASHTRA,,25.0,
2155,,"RIVER PURNA A/C OF
MORNA, ANDURA
VILLAGE, BALAPUR, AKOLA",MAHARASHTRA,,25.0,
2695,,"RIVER PEDHI NEAR ROAD
BRIDGE AT DADHI-PEDHI
VILLAGE, BHATKULI,
AMRAVATI",MAHARASHTRA,,20.0,
2675,,"RIVER MORNA AT D/S
RAILWAY BRIDGE, AKOLA",MAHARASHTRA,,25.0,
"STATIO
N CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1851,,"RIVER MAHANADI AT
SIHAWA, CHHATISGARH.",CHATTISGARH,,22.0,
1264,,"RIVER MAHANADI AT
RUDRI U/S AT DHAMTORI
RESERVOIR,
CHHATISGARH.",CHATTISGARH,,23.0,
1099,,"RIVER MAHANADI AT U/S
OF RAJIM, CHHATISGARH.",CHATTISGARH,,23.0,
1852,,"RIVER MAHANADI AT
ARRANG, RAIPUR,
CHHATISGARH.",CHATTISGARH,,23.0,
1100,,"RIVER MAHANADI AT
KHARAD, CHHATISGARH.",CHATTISGARH,,20.0,
1282,,"RIVER MAHANADI AT
SHEORINARAYAN
VILLAGE, CHHATISGARH.",CHATTISGARH,,21.0,
1467,,"RIVER MAHANADI AFTER
CONFL. WITH RIVER
MAND, CHHATISGARH.",CHATTISGARH,,20.5,
3168,,"RIVER MAHANADI D/S OF
HASDEO RIVER NEAR
URGA VILLAGE KORBA,
CHHATISGARH.",CHATTISGARH,,25.5,
1101,,"RIVER MAHANADI AT
INTERSTATE BOUNDRY,
CHHATISGARH.",CHATTISGARH,,20.0,
1281,,"RIVER MAHANADI AT
HIRAKUD RESERVOIR",ODISHA,,21.0,
30063,,"RIVER MAHANADI AT
HIRAKUD (ODISHA)",ODISHA,,24.0,
1270,,"RIVER MAHANADI AT
SAMBALPUR U/S",ODISHA,,20.0,
1271,,"RIVER MAHANADI AT
SAMBALPUR D/S",ODISHA,,19.0,
"STATIO
N CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2405,,"RIVER MAHANADI AT
SAMBHALPUR FD/S AT
HUMA",ODISHA,,18.0,
1272,,"RIVER MAHANADI D/S
(AFTER CONFL. WITH R.
ONG SONEPUR U/S)",ODISHA,,19.0,
1274,,"RIVER MAHANADI A/C
WITH TEL (SONEPUR D/S)",ODISHA,,18.0,
2404,,"RIVER MAHANADI POWER
CHANNEL D/S NEAR
BURLA",ODISHA,,20.0,
2406,,"RIVER MAHANADI AT
MUNDALI (WATER
INTAKE POINT OF
BHUBANESWAR CITY)",ODISHA,,20.0,
3887,,"RIVER MAHANADI AT
SAMBALPUR FD/S AT
SHANKARMATH",ODISHA,,18.0,
1275,,"RIVER MAHANADI AT
TIKARPADA",ODISHA,,22.0,
1276,,"RIVER MAHANADI AT
NARSINGHPUR",ODISHA,,20.0,
1277,,"RIVER MAHANADI AT
CUTTACK U/S",ODISHA,,19.0,
1278,,"RIVER MAHANADI AT
CUTTACK D/S",ODISHA,,21.0,
3888,,"RIVER MAHANADI POWER
CHANNEL U/S",ODISHA,,15.0,
3890,,"RIVER MAHANADI AT
CUTTACK FD/S AT
GATIRAUTAPATNA",ODISHA,,20.0,
2407,,"RIVER MAHANADI AT
PARADEEP U/S (BEFORE
INDUSTRIAL ACTIVITY AT
PARADEEP)",ODISHA,,23.1,
1639,,"RIVER MAHANADI AT
PARADEEP D/S",ODISHA,,22.9,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
